id,en,el,fr,de,zh_TW
Fill with color:,Fill with color:,Γέμισμα με χρώμα:,Remplir avec la couleur :,Fülle mit Farbe,中文
Open a File,Open a File,Άνοιγμα αρχείου,Ouvrir un fichier,Öffne eine Datei,中文
Open File(s),Open File(s),Άνοιγμα αρχείου/ων,Ouvrir des fichiers,Öffne Datei(en),中文
IMPORT_FILE_LABEL,Import as new frame,Εισαγωγή ως νέο καρέ,Importer en tant que trame,Importier als neues Frame,中文
Save Sprite as .pxo,Save Sprite as .pxo,Αποθήκευση εικόνας ως .pxo,Enregistrer la sprite au format .pxo,Speichere Sprite als .pxo,中文
Export Sprite,Export Sprite,Εξαγωγή εικόνας,Exporter une sprite,Exportiere Sprite,中文
EXPORT_ALLFRAMES_LABEL,Export all frames,Εξαγωγή όλων των καρέ,Exporter toutes les trames,Exportiere alle Frames,中文
EXPORT_FRAMES_ASFILE_LABEL,Export frames as a single file,Εξαγωγή όλων των καρέ στο ίδιο αρχείο,Exporter les trames en un seul fichier,Exportiere Frames als eine einzige Datei,中文
EXPORT_VERTICAL_SPRITESHEET_LABEL,Vertical spritesheet,Κάθετη ευθυγράμμιση,Spritesheet vertical,Vertikales Spritesheet,中文
Path:,Path:,Διαδρομή:,Chemin :,Pfad:,中文
Directories & Files:,Directories & Files:,Φάκελοι & Αρχεία:,Répertoires et fichiers :,Verzeichnisse & Dateien,中文
File:,File:,Αρχείο:,Fichier :,Datei:,中文
Interpolation:,Interpolation:,Παρεμβολή:,Interpolation :,Interpolation,中文
Nearest,Nearest,Χωρίς,Le plus proche,Nächstes,中文
Bilinear,Bilinear,Διγραμμική,Linéaire,Bilinear,中文
Cubic,Cubic,Κυβική,Cubique,Kubisch,中文
Trilinear,Trilinear,Τριγραμμική,Trilinéaire,Trilinear,中文
Grid options,Grid options,Επιλογές πλέγματος,Configuration de la grille,Gitter Optionen,中文
Color:,Color:,Χρώμα:,Couleur :,Farbe:,中文
Language:,Language:,Γλώσσα:,Langue :,Sprache:,中文
System Language,System Language,Γλώσσα Συστήματος,Langue système,System Sprache,中文
English [en],English [en],Αγγλικά [en],Anglais [en],Englisch [en],中文
German [de],German [de],Γερμανικά [de],allemand [de],Deutsch [de],中文
Greek [el],Greek [el],Ελληνικά [el],Grec [el],Griechisch [el],中文
French [fr],French [fr],Γαλλικά [fr],Français [fr],Französisch [fr],中文
About Pixelorama,About Pixelorama,Σχετικά με το Pixelorama,À propos de Pixelorama,Über Pixelorama,中文
MADEBY_LABEL,Your Free and Open Source Sprite Editor!\nDeveloped by Orama Interactive\n,Το δωρεάν και ανοιχτού κώδικα πρόγραμμά σας!\nΦτιαγμένο από την Orama Interactive\n,Votre éditeur de sprites libre et open source\nDéveloppé par Orama Interactive\n,Ihr kostenloser und opensource Pixeleditor!\nEntwickelt von Orama Interactive\n,中文
Website,Website,Ιστοσελίδα,Site Web,Website,中文
Donate,Donate,Κάντε μια δωρεά,Faire un don,Spenden,中文
QUIT_LABEL,Are you sure you want to exit Pixelorama?,Σίγουρα θέλετε να βγείτε από το Pixelorama;,Voulez-vous vraiment quitter Pixelorama ?,中文
Möchten sie Pixelorama wirklich verlassen?,中文
Utility Tools,Utility Tools,Βοηθητικά Εργαλεία,Outils utilitaires,Dienstwerkzeuge,中文
RECTSELECT_HT,Rectangular Selection\n\nR for left mouse button\nAlt + R for right mouse button\n\nPress Shift to move the content,Ορθογώνια επιλογή\n\nR για το αριστερό κουμπί ποντικιού\nAlt + R για το δεξί κουμπί ποντικιού\n\nΠατήστε Shift για να μετακινηθεί το περιεχόμενο,Sélection rectangulaire\n\nR pour le bouton gauche de la souris\n\nAlt + R pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour déplacer le contenu,Rechteckige Auswahl\n\nR für die linke Maustaste\nAlt + R für die rechte Maustaste\n\nPresse Shift zum verschieben des Inhalts,中文
COLORPICKER_HT,Color Picker\nSelect a color from a pixel of the sprite\n\nO for left mouse button\nAlt + O for right mouse button,Επιλογέας χρωμάτων\nΕπιλέξτε ένα χρώμα από ένα εικονοστοιχείο της εικόνας\n\nΟ για το αριστερό κουμπί ποντικιού\nAlt + Ο για το δεξί κουμπί ποντικιού,Sélecteur de couleurs\nSélectionnez la couleur d'un pixel de la sprite\n\nO pour le bouton gauche de la souris\n\nAlt + O pour le bouton droit de la souris,Farbauswahl\Wähle einr Farbe von einem Pixel des Sprites\n\nO für die linke Maustaste\nAlt + O für die rechte Maustaste,中文
Draw Tools,Draw Tools,Εργαλεία Ζωγραφικής,Outils de dessin,Zeichnenwerkzeuge,中文
PENCIL_HT,Pencil\n\nP for left mouse button\nAlt + P for right mouse button\n\nHold Shift to make a line,Μολύβι\n\nP για το αριστερό κουμπί ποντικιού\nAlt + P για το δεξί κουμπί ποντικιού\n\nΚρατήστε Shift για να τραβήξετε μια γραμμή,Crayon\n\nP pour le bouton gauche de la souris\n\nAlt + P pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour dessiner une ligne,"Bleistift\n\nP für linke Maustaste\nAlt + P für rechte Maustaste\n\nHalte Shift, um eine Linie zu bilden.",中文
ERASER_HT,Eraser\n\nE for left mouse button\nAlt + E for right mouse button\n\nHold Shift to make a line,Γόμα\n\nE για το αριστερό κουμπί ποντικιού\nAlt + E για το δεξί κουμπί ποντικιού\n\nΚρατήστε Shift για να τραβήξετε μια γραμμή,Gomme\n\nE pour le bouton gauche de la souris\n\nAlt + E pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour dessiner une ligne,"Radiergummi\n\nE für die linke Maustaste\nAlt + E für die rechte Maustaste\n\nHalte Shift, um eine Linie zu bilden.",中文
BUCKET_HT,Bucket\n\nB for left mouse button\nAlt + B for right mouse button,Κουβάς\n\nB για το αριστερό κουμπί ποντικιού\nAlt + B για το δεξί κουμπί ποντικιού,Seau de remplissage\n\nB pour le bouton gauche de la souris\nAlt + B pour le bouton droit de la souris,Eimer\n\nB für linke Maustaste\nAlt + B für rechte Maustaste,中文
LD_HT,Lighten/Darken\n\nU for left mouse button\nAlt + U for right mouse button,Φώτισμα/Σκούρημα\n\nU για το αριστερό κουμπί ποντικιού\nAlt + U για το δεξί κουμπί ποντικιού,Éclaircir/Assombrir\n\nU pour le bouton gauche de la souris\nAlt + U pour le bouton droit de la souris,Erhellen/Verdunkeln\n\nU für linke Maustaste\nAlt + U für rechte Maustaste,中文
LEFTCOLOR_HT,Choose a color for the left tool,Επιλέξτε ένα χρώμα για το αριστερό εργαλείο,Choisissez une couleur pour l'outil gauche,Wähle eine Farbe für das linke Werkzeug,中文
RIGHTCOLOR_HT,Choose a color for the right tool,Επιλέξτε ένα χρώμα για το δεξί εργαλείο,Choisissez une couleur pour l'outil droit,Wähle eine Farbe für das rechte Werkzeug,中文
COLORSWITCH_HT,Switch left and right colors,Εναλλαγή μεταξύ αριστερού και δεξιού χρώματος,Alterner les couleurs de gauche et de droite,Wechsle linke und rechte Farben,中文
COLORDEFAULTS_HT,"Reset the colors to their default state (black for left, white for right)","Επαναφορά των χρωμάτων στην αρχική τους κατάσταση (μαύρο για το αριστερό, άσπρο για το δεξί)","Réinitialise les couleurs à leur état initial (noir pour l'outil gauche, blanc pour l'outil droit)","Setzt die Farben auf den Standardzustand zurück (schwarz für links, weiß für rechts).",中文
Raw Mode,Raw Mode,Ωμή Λειτουργία,Mode Raw,Raw-Mode,中文
Left tool options,Left tool options,Επιλογές αριστερού εργαλείου,Options de l'outil gauche,Linke Werkzeugoptionen,中文
Right tool options,Right tool options,Επιλογές δεξιού εργαλείου,Options de l'outil droit,Rechte Werkzeugoptionen,中文
Left pixel indicator,Left pixel indicator,Δείκτης αριστερού πιξελ,Indicateur de pixel gauche,Linke Pixelanzeige,中文
LEFT_INDIC_HT,Show left mouse pixel indicator or brush on the canvas when drawing,Εμφάνιση δείκτη για το εικονοστοιχείο ή το πινέλο πάνω στον καμβά που αντιστοιχεί στο αριστερό κουμπί του ποντικιού,Affiche un indicateur de pixel ou de brosse pour l'outil gauche lorsque vous dessinez,Zeige linkes Mausicon oder Pinsel auf der Leinwand wenn gezeichnet wird,中文
RIGHT_INDIC_HT,Show right mouse pixel indicator or brush on the canvas when drawing,Εμφάνιση δείκτη για το εικονοστοιχείο ή το πινέλο πάνω στον καμβά που αντιστοιχεί στο δεξί κουμπί του ποντικιού,Affiche un indicateur de pixel ou de brosse pour l'outil droit lorsque vous dessinez,Zeige rechtes Mausicon oder Pinsel auf der Leinwand wenn gezeichnet wird,中文
Right pixel indicator,Right pixel indicator,Δείκτης δεξιού πιξελ,Indicateur de pixel droit,Rechte Pixelanzeige,中文
Brush:,Brush:,Πινέλο:,Brosse :,Pinsel:,中文
BRUSH_HT,Select a brush,Επιλέξτε ένα πινέλο,Sélectionnez une brosse,Wähle einen Pinsel,中文
Brush: Pixel,Brush: Pixel,Πινέλο: Εικονοστοιχείο,Brosse : Pixel,Pinsel: Pixel,中文
Custom brush,Custom brush,Προσαρμοσμένο πινέλο,Brosse personnalisée,Benutzerdefinierter Pinsel,中文
Brush size:,Brush size:,Μέγεθος πινέλου:,Taille de la brosse :,Pinselgröße:,中文
Brush color from,Brush color from,Χρώμα πινέλου από,Couleur de la brosse depuis,Pinselfarbe von,中文
COLORFROM_HT,"0: Color from the brush itself, 1: the currently selected color","0: Χρώμα από το πινέλο, 1: επιλεγμένο χρώμα","0 : Couleur depuis la brosse elle-même, 1 : la couleur actuellement sélectionnée","0: Farbe von dem Pinsel selbst, 1: die aktuell ausgewählte Farbe",中文
Fill area:,Fill area:,Περιοχή γεμίσματος:,Remplissage de zone :,Fülle Bereich,中文
Area of the same color,Area of the same color,Περιοχή ίδιου χρώματος,Zone de la même couleur,Bereich mit der selben Farbe,中文
All pixels of the same color,All pixels of the same color,Όλα τα πίξελ ίδιου χρώματος,Tous les pixels de la même couleur,Alle Pixel mit der selben Farbe,中文
Lighten,Lighten,Φώτισμα,Éclaircir,Erhellen,中文
Darken,Darken,Σκούρημα,Assombrir,Verdunkeln,中文
Amount:,Amount:,Ποσό:,Quantité :,Menge:,中文
LDAMOUNT_HT,Lighten/Darken amount,Ποσό φωτίσματος ή σκουρήματος,Quantité d'éclaircissement/assombrissement,Erhellen/Verdunkeln Menge,中文
Mirroring,Mirroring,Κατοπτρισμός,Miroir,Spiegeln,中文
Horizontal,Horizontal,Οριζόντια,Horizontal,Horizontal spiegeln,中文
HORIZMIRROR_HT,Enable horizontal mirrored drawing,Ενεργοποίηση ζωγραφικής με οριζόντιο κατοπτρισμό,Dessine avec un miroir horizontal,Aktiviere horizontal gespiegelte Zeichnung, 中文
VERTMIRROR_HT,Enable vertical mirrored drawing,Ενεργοποίηση ζωγραφικής με κάθετο κατοπτρισμό,Dessine avec un miroir vertical,Aktiviere vertikale gespiegelte Zeichnung,中文
Vertical,Vertical,Κάθετα,Vertical,Vertikal,中文
Current frame:,Current frame:,Τρέχον καρέ:,Trame actuelle :,Aktueller Frame,中文
Current frame: 1/1,Current frame: 1/1,Τρέχον καρέ: 1/1,Trame actuelle : 1/1,Aktueller Frame 1/1,中文
FIRSTFRAME_HT,Jump to the first frame\n(Ctrl+Home),Μετάβαση στο πρώτο καρέ\n(Ctrl+Home),Aller à la première trame\n(Ctrl + Orig.),Springe zu dem ersten Frame\n(Strg+Home),中文
PREVIOUSFRAME_HT,Go to the previous frame\n(Ctrl+Left),Μετάβαση στο προηγούμενο καρέ\n(Ctrl+Αριστερά),Aller à la trame précédente\n(Ctrl + Gauche),Gehe zu dem letzten Frame\n(Strg+Pfeil nach Links),中文
PLAYBACKWARDS_HT,Play the animation backwards (from end to beginning)\n(F4),Αναπαραγωγή της κίνησης ανάποδα (από το τέλος προς την αρχή)\n(F4),Jouer l'animation à l'envers (de la fin vers le début)\n(F4),Spiele die Animation rückwärts ab (vom Ende bis zum Anfang)\n(F4),中文
PLAYFORWARD_HT,Play the animation forward (from beginning to end)\n(F5),Αναπαραγωγή της κίνησης κανονικά (από την αρχή προς το τέλος)\n(F5),Jouer l'animation (du début vers la fin)\n(F5),Spiele die Animation vorwärts ab (vom Anfang bis zum Ende)\n(F5),中文
NEXTFRAME_HT,Go to the next frame\n(Ctrl+Right),Μετάβαση στο επόμενο καρέ\n(Ctrl+Δεξιά),Aller à la prochaine trame\n(Ctrl + Droite),Gehe zum nächsten Frame\n(Strg+Pfeil nach Rechts),中文
LASTFRAME_HT,Jump to the last frame\n(Ctrl+End),Μετάβαση στο τελευταίο καρέ\n(Ctrl+End),Aller à la dernière trame\n(Ctrl + Fin),Springe zum letzten Frame\n(Strg+Ende),中文
FPS_HT,"How many frames per second should the animation preview be?\nThe more FPS, the faster the animation plays.","Πόσα καρέ ανά δευτερόλεπτο (FPS) να είναι η προεπισκόπηση της κίνησης;\nΌσο περισσότερα FPS, τόσο πιο γρήγορα παίζει η κίνηση.","Combien d'images par seconde pour l'aperçu de l'animation ?\nPlus cette valeur est élevée, plus l'animation sera jouée rapidement.","Wie viele Frames pro Sekunde sollte die Animationsvorschau haben?\n Je mehr FPS, desto schneller wird die Animation abgespielt.",中文
No loop,No loop,Όχι επανάληψη,Pas de bouclage,Keine Wiederholungsschleife,中文
Cycle loop,Cycle loop,Κυκλική επανάληψη,Bouclage en cycle,Zyklusschleife,中文
Ping-pong loop,Ping-pong loop,Επανάληψη πινγκ-πονγκ,Bouclage en ping-pong,Ping Pong Loop,中文
Onion Skinning:,Onion Skinning:,Γειτονικά καρέ:,Peau d'oignon :,Onion Skinning:,中文
Past Frames,Past Frames,Παρελθοντικά καρέ,Trames passées,Letzten Frames,中文
Future Frames,Future Frames,Μελλοντικά καρέ,Trames futures,Nächsten Frames,中文
Blue-Red Mode,Blue-Red Mode,Μπλε-Κόκκινη λειτουργία,Mode rouge-bleu,Blau-Roter Modus,中文
Add a new frame,Add a new frame,Προσθήκη νέου καρέ,Ajouter une trame,Füge einen neuen Frame hinzu,中文
Remove Frame,Remove Frame,Διαγραφή Καρέ,Supprimer la trame,Entferne Frame,中文
Clone Frame,Clone Frame,Κλωνοποίηση Καρέ,Cloner la trame,Kopiere Frame,中文
Move Left,Move Left,Μετακίνηση Αριστερά,Déplacer vers la gauche,Bewege nach Links,中文
Move Right,Move Right,Μετακίνηση Δεξιά,Déplacer vers la droite,Bewege nach Rechts,中文
Layers,Layers,Στρώσεις,Calques,Ebenen,中文
LAYERNEW_HT,Create a new layer,Δημιουργία νέας στρώσης,Créer un calque,Erstelle eine neue Ebene,中文
LAYERREMOVE_HT,Remove current layer,Διαγραφή της τρέχουσας στρώσης,Supprimer le calque,Entferne aktuelle Ebene,中文
LAYERUP_HT,Move up the current layer,Μετακίνηση της τρέχουσας στρώσης προς τα πάνω,Déplacer le calque vers le haut,Bewege aktuelle Ebene nach oben,中文
LAYERDOWN_HT,Move down the current layer,Μετακίνηση της τρέχουσας στρώσης προς τα κάτω,Déplacer le calque vers le cas,Bewege aktuelle Ebene nach unten,中文
LAYERCLONE_HT,Clone current layer,Κλωνοποίηση της τρέχουσας στρώσης,Cloner le calque,Kopiere aktuelle Ebene,中文
LAYERMERGE_HT,Merge current layer with the one below,Συγχώνευση της τρέχουσας στρώσης με την από κάτω,Fusionner le calque vers le bas,Führe Ebene mit der darunter zusammen,中文
LAYERVISIBILITY_HT,Toggle layer's visibility,Εναλλαγή της ορατότητας της στρώσης,Afficher/Masquer le calque,Ändere die Sichtbarkeit der Ebene,中文
SPLITSCREEN_HT,Split screen\n\nShow second canvas,Διπλή οθόνη\n\nΕμφάνιση δεύτερου καμβά,Écran partagé\n\nAfficher un second canevas,Geteilter Bildschirm\n\nZeige zweite Leinwand,中文
SPLITSCREEN_HIDE_HT,Split screen\n\nHide second canvas,Διπλή οθόνη\n\nΑπόκρυψη δεύτερου καμβάf,Écran partagé\n\nCacher le second canevas,Geteilter Bildschirm\n\nVerstecke zweite Leinwand,中文
Undo: Draw,Undo: Draw,Αναίρεση: Ζωγραφική,Annuler : Dessin,Rückgängig: Zeichen,中文
Redo: Draw,Redo: Draw,Ακύρωση αναίρεσης: Ζωγραφική,Refaire : Dessin,Wiederherstellen: Zeichnen,中文
Undo: Rectangle Select,Undo: Rectangle Select,Αναίρεση: Ορθογώνια επιλογή,Annuler : Sélection par rectangle,Rückgängig: Rechteck Auswahl,中文
Redo: Rectangle Select,Redo: Rectangle Select,Ακύρωση αναίρεσης: Ορθογώνια επιλογή,Refaire : Sélection par rectangle,Wiederherstellen: Rechteck Auswahl,中文
Undo: Scale,Undo: Scale,Αναίρεση: Κλιμάκωση,Annuler : Redimensionner l'image,Rückgängig: Skalieren,中文
Redo: Scale,Redo: Scale,Ακύρωση αναίρεσης: Κλιμάκωση,Refaire : Redimensionner l'image,Wiederherstellen: Skalieren,中文
Undo: Add Layer,Undo: Add Layer,Αναίρεση: Προσθήκη στρώσης,Annuler : Ajouter un calque,Rückgängig: Ebene hinzufügen,
Redo: Add Layer,Redo: Add Layer,Ακύρωση αναίρεσης: Προσθήκη στρώσης,Refaire : Ajouter un calque,Wiederherstellen: Ebene hinzufügen,中文
Undo: Remove Layer,Undo: Remove Layer,Αναίρεση: Διαγραφή στρώσης,Annuler : Supprimer le calque,Rückgängigg: Entferne Ebene,中文
Redo: Remove Layer,Redo: Remove Layer,Ακύρωση αναίρεσης: Διαγραφή στρώσης,Refaire : Supprimer le calque,Wiederherstellen: Entferne Ebene,中文
Undo: Merge Layer,Undo: Merge Layer,Αναίρεση: Συγχώνευση στρώσης,Annuler : Fusionner le calque,Rückgängig: Füge Ebene zusammen,中文
Redo: Merge Layer,Redo: Merge Layer,Ακύρωση αναίρεσης: Συγχώνευση στρώσης,Refaire : Fusionner le calque,Wiederherstellen: Füge Ebene zusammen,中文
Undo: Change Layer Order,Undo: Change Layer Order,Αναίρεση: Αλλαγή σειράς στρώσης,Annuler : Modifier l'ordre des calques,Rückgängig: Ändere Ebenenreihenfolge,中文
Redo: Change Layer Order,Redo: Change Layer Order,Ακύρωση αναίρεσης: Αλλαγή σειράς στρώσης,Refaire : Modifier l'ordre des calques,Wiederherstellen: Ändere Ebenenreihenfolge,中文
Undo: Add Frame,Undo: Add Frame,Αναίρεση: Προσθήκη καρέ,Annuler : Ajouter une trame,Rückgängig: Füge Frame hinzu,中文
Redo: Add Frame,Redo: Add Frame,Ακύρωση αναίρεσης: Προσθήκη καρέ,Refaire : Ajouter une trame,Wiederherstellen: Füge Frame hinzu,中文
Undo: Remove Frame,Undo: Remove Frame,Αναίρεση: Διαγραφή καρέ,Annuler : Supprimer une trame,Rückgängig: Entferne Frame,中文
Redo: Remove Frame,Redo: Remove Frame,Ακύρωση αναίρεσης: Διαγραφή καρέ,Refaire : Supprimer une trame,Wiederherstellen: Entferne Frame,中文
Undo: Change Frame Order,Undo: Change Frame Order,Αναίρεση: Αλλαγή σειράς καρέ,Annuler : Modifier l'ordre des trames,Rückgängig: Ändere Framereihenfolge,中文
Redo: Change Frame Order,Redo: Change Frame Order,Ακύρωση αναίρεσης: Αλλαγή σειράς καρέ,Refaire : Modifier l'ordre des trames,Wiederherstellen: Ändere Framereihenfolge,中文
Undo: Delete Custom Brush,Undo: Delete Custom Brush,Αναίρεση: Διαγραφή προσαρμοσμένου πινέλου,Annuler : Supprimer la brosse personnalisée,Rückgängig: Entferne benutzerdefinierten Pinsel,中文
Redo: Delete Custom Brush,Redo: Delete Custom Brush,Ακύρωση αναίρεσης: Διαγραφή προσαρμοσμένου πινέλου,Refaire : Supprimer la brosse personnalisée,Wiederherstellen: Entferne benutzerdefinierten Pinsel,中文
Move Guide,Move Guide,Μετακίνηση βοηθού,Déplacer le guide,Bewegungsanleitung,中文
File saved,File saved,Το αρχείο αποθηκεύτηκε,Fichier enregistré,Datei gespeichert,中文
File exported,File exported,Έγινε εξαγωγή αρχείου,Fichier exporté,Datei exportiert,中文
